user_id	item_id	time
259	254	874724710
259	285	874724727
259	297	874724754
259	184	874724781
259	172	874724843
259	762	874724882
259	108	874724882
259	287	874724905
259	898	874724937
259	117	874724988
259	199	874725081
259	404	874725120
259	1037	874725264
259	175	874725386
259	209	874725485
259	356	874725485
851	679	874728168
851	688	874728338
851	283	874728338
851	294	874728370
851	542	874728396
851	471	874728396
851	289	874728430
851	146	874728461
851	120	874728565
851	708	874728598
712	219	874729682
712	1004	874729682
712	508	874729749
712	722	874729750
712	416	874729750
712	50	874729750
712	384	874729778
712	618	874729778
712	97	874729816
712	66	874729816
712	79	874729850
712	938	874729850
712	551	874729850
712	96	874729850
712	180	874729901
712	172	874729901
712	171	874729901
712	496	874729935
712	401	874729935
712	730	874729935
712	420	874729935
712	233	874729935
712	42	874729935
712	422	874729960
712	684	874729995
712	99	874729995
712	173	874729995
712	391	874729996
712	799	874729996
712	1165	874729996
712	82	874730031
712	214	874730031
712	201	874730031
712	61	874730031
712	431	874730056
712	737	874730085
712	69	874730085
712	460	874730085
712	194	874730085
712	766	874730155
712	176	874730155
712	88	874730155
712	1019	874730155
712	4	874730179
712	773	874730206
712	1312	874730206
712	237	874730206
712	653	874730234
712	583	874730234
712	364	874730234
712	418	874730234
712	1327	874730235
712	72	874730261
712	558	874730261
712	71	874730261
712	227	874730261
712	617	874730293
712	73	874730293
712	209	874730293
712	655	874730320
712	392	874730320
712	140	874730320
712	582	874730342
712	723	874730370
712	919	874730370
712	377	874730370
712	707	874730370
712	195	874730396
712	190	874730396
712	83	874730396
712	59	874730420
712	135	874730443
712	403	874730467
712	648	874730467
712	229	874730467
712	1017	874730490
712	566	874730491
712	720	874730491
712	911	874730491
712	60	874730520
712	504	874730520
712	493	874730520
712	484	874730521
712	916	874730521
712	738	874730552
712	430	874730552
712	95	874730552
712	38	874730553
712	417	874730553
851	111	874767408
851	826	874767408
851	980	874767408
851	733	874767519
851	404	874767550
851	808	874767550
851	801	874767550
119	299	874774286
119	285	874774286
119	321	874774449
119	322	874774449
119	274	874774575
119	841	874774575
119	100	874774575
119	456	874774575
119	50	874774718
119	453	874774719
119	732	874774815
119	709	874774956
119	234	874774956
119	800	874774956
119	276	874774993
119	236	874775038
119	297	874775038
119	1048	874775136
119	281	874775136
119	411	874775136
119	622	874775185
119	7	874775185
119	275	874775262
119	982	874775262
119	124	874775262
119	93	874775262
119	221	874775311
119	120	874775311
119	470	874775406
119	733	874775406
119	813	874775406
119	950	874775406
119	807	874775406
119	180	874775406
119	595	874775465
119	752	874775465
119	286	874775465
119	117	874775535
119	894	874775535
119	273	874775580
119	109	874775580
119	810	874775580
119	473	874775580
119	256	874775614
119	471	874775647
119	1147	874775680
119	249	874775731
119	404	874775815
119	811	874775815
119	105	874775849
119	544	874775914
119	254	874775914
119	900	874775945
119	708	874775945
119	814	874775980
119	998	874775980
640	777	874777260
640	11	874777440
640	12	874777491
640	494	874777491
640	381	874777528
640	56	874777528
640	179	874777528
640	169	874777583
640	472	874777623
640	133	874777623
640	760	874777658
640	64	874777701
640	47	874777735
640	81	874777735
640	174	874777735
640	55	874777765
640	459	874777833
640	168	874777890
640	181	874777925
640	317	874777948
640	203	874777974
640	91	874777998
640	4	874778065
640	85	874778065
640	70	874778065
640	911	874778095
640	578	874778096
640	208	874778154
640	188	874778181
640	685	874778207
640	656	874778240
640	200	874778240
640	96	874778240
640	53	874778274
640	238	874778274
640	356	874778274
640	213	874778274
640	1036	874778299
640	427	874778299
640	66	874778345
640	42	874778345
640	201	874778366
640	230	874778424
640	68	874778479
640	232	874778479
640	22	874778479
640	538	874778479
640	160	874778479
640	194	874778515
640	79	874778515
640	92	874778515
640	676	874778568
640	2	874778568
640	384	874778569
640	564	874778569
640	566	874778569
640	225	874778569
640	38	874778612
640	711	874778612
640	576	874778612
640	62	874778612
640	751	874778613
640	33	874778696
640	548	874778722
640	390	874778756
640	372	874778756
640	789	874778756
119	251	874780832
119	809	874780860
594	318	874780864
594	291	874780864
594	244	874780909
594	955	874780945
119	945	874780969
594	19	874781004
594	100	874781004
119	253	874781037
119	1186	874781037
594	513	874781050
119	593	874781067
119	954	874781068
594	180	874781076
594	126	874781076
594	14	874781173
594	125	874781173
119	1106	874781198
119	56	874781198
119	11	874781198
119	490	874781198
594	220	874781207
119	212	874781257
119	96	874781257
119	193	874781257
119	173	874781303
119	181	874781303
119	167	874781351
119	89	874781352
119	82	874781352
119	509	874781407
119	209	874781407
119	64	874781460
119	484	874781547
119	648	874781628
119	22	874781698
119	381	874781742
119	187	874781742
119	1062	874781779
119	31	874781779
119	87	874781829
119	70	874781829
119	192	874781872
119	12	874781915
119	566	874781915
119	384	874781994
119	198	874781994
119	123	874781994
119	153	874782022
119	28	874782022
119	689	874782068
119	86	874782068
119	23	874782100
119	651	874782127
119	707	874782190
119	447	874782190
119	171	874782191
119	131	874782228
594	50	874783018
594	221	874783052
594	15	874783052
594	735	874783298
594	275	874783470
594	236	874784095
23	322	874784266
23	704	874784337
23	180	874784337
23	249	874784338
23	7	874784385
23	50	874784440
23	14	874784440
23	123	874784440
23	889	874784440
23	109	874784466
23	19	874784466
23	116	874784466
23	13	874784497
23	407	874784538
23	100	874784557
23	282	874784575
23	1	874784615
23	404	874784638
23	223	874784638
23	544	874784668
23	150	874784668
23	234	874784712
23	470	874784972
23	595	874785024
23	201	874785165
23	930	874785165
23	516	874785194
23	356	874785233
23	432	874785233
23	56	874785233
23	169	874785348
23	520	874785447
23	598	874785448
23	274	874785474
23	8	874785474
23	697	874785526
23	237	874785526
23	174	874785526
23	413	874785526
23	59	874785526
23	96	874785551
23	153	874785552
23	227	874785582
23	89	874785582
23	502	874785624
23	55	874785624
23	233	874785624
23	173	874785652
23	212	874785675
23	213	874785701
23	182	874785728
23	477	874785728
23	131	874785756
23	184	874785756
23	972	874785809
23	32	874785809
23	229	874785809
23	170	874785809
23	461	874785843
23	208	874785843
23	510	874785843
23	636	874785843
23	175	874785843
23	171	874785889
23	702	874785889
23	83	874785926
23	525	874785926
23	645	874785926
23	143	874785926
23	79	874785957
23	102	874785957
23	366	874785957
23	188	874785985
23	98	874786016
23	193	874786016
23	417	874786037
23	142	874786066
23	99	874786098
23	623	874786098
23	133	874786098
23	386	874786098
23	203	874786122
23	132	874786220
23	95	874786220
23	144	874786244
276	257	874786337
276	299	874786338
276	293	874786366
276	327	874786366
276	321	874786392
276	287	874786392
276	322	874786392
276	323	874786419
276	324	874786419
276	357	874786419
276	670	874786419
23	152	874786438
276	259	874786439
913	4	874786460
23	384	874786462
276	407	874786467
276	297	874786467
276	506	874786467
276	889	874786467
23	422	874786488
276	180	874786488
23	210	874786512
23	70	874786513
276	272	874786517
276	7	874786517
276	622	874786538
276	117	874786568
276	126	874786568
276	150	874786568
276	544	874786568
276	1	874786568
276	275	874786605
276	545	874786605
276	100	874786605
276	283	874786605
276	248	874786632
276	589	874786632
276	688	874786632
276	469	874786657
276	122	874786657
276	256	874786657
594	356	874786664
594	518	874786664
276	245	874786686
276	146	874786686
276	409	874786686
276	25	874786686
276	109	874786686
276	292	874786686
594	481	874786695
276	239	874786713
276	453	874786713
276	982	874786713
276	234	874786734
23	202	874786746
276	733	874786756
276	473	874786756
276	236	874786756
23	509	874786770
23	420	874786770
276	249	874786784
276	677	874786784
276	976	874786784
23	28	874786793
276	826	874786807
276	807	874786807
276	410	874786807
276	405	874786831
276	471	874786831
276	289	874786854
276	456	874786854
276	224	874786854
276	124	874786876
276	1085	874786876
23	62	874786880
276	120	874786897
276	821	874786897
23	738	874786903
276	108	874786924
276	3	874786924
276	147	874786924
276	149	874786924
23	195	874786926
276	942	874786945
23	161	874786950
276	118	874786964
23	526	874786974
23	194	874786993
276	809	874787006
276	251	874787006
23	73	874787016
23	160	874787017
276	992	874787044
276	404	874787044
23	154	874787059
276	280	874787065
276	959	874787065
23	447	874787083
276	945	874787090
276	1187	874787091
276	470	874787109
23	214	874787116
23	524	874787116
23	216	874787144
276	595	874787150
276	979	874787150
276	121	874787150
23	228	874787162
276	900	874787172
276	119	874787172
276	593	874787195
276	21	874787195
23	418	874787204
23	215	874787204
276	753	874787214
276	454	874787237
23	449	874787256
23	834	874787288
276	1042	874787300
23	514	874787330
23	648	874787330
23	380	874787350
276	179	874787353
276	213	874787353
276	972	874787353
276	191	874787353
23	90	874787370
276	174	874787376
532	751	874787387
276	47	874787407
276	27	874787407
276	580	874787407
276	12	874787407
23	88	874787410
276	64	874787441
276	134	874787441
276	159	874787441
276	28	874787441
276	467	874787441
23	82	874787449
276	793	874787467
276	65	874787467
276	23	874787467
276	317	874787496
276	22	874787496
276	521	874787496
276	11	874787497
276	57	874787526
276	356	874787526
276	556	874787526
276	459	874787526
276	386	874787526
276	196	874787549
276	97	874787549
276	181	874787549
23	172	874787587
23	971	874787647
23	226	874787738
23	379	874787774
23	403	874787860
23	730	874787861
23	655	874788045
23	218	874788187
23	547	874788290
23	970	874788318
23	769	874788388
23	671	874788443
532	226	874788566
532	142	874788755
851	739	874788804
532	1166	874788957
23	385	874789001
851	1011	874789005
851	975	874789084
851	894	874789109
532	1145	874789155
23	426	874789279
23	528	874789279
23	71	874789299
532	38	874789332
532	449	874789474
532	782	874789538
532	105	874789704
532	1172	874789704
532	1152	874790439
532	1010	874790629
532	814	874790629
276	156	874790773
276	222	874790773
276	1096	874790773
276	529	874790801
532	552	874790813
276	70	874790826
276	762	874790826
276	909	874790855
276	468	874790855
276	1141	874790875
276	685	874790903
276	723	874790903
276	640	874790903
276	422	874790926
532	1251	874790930
276	192	874790952
276	428	874790972
276	39	874790995
276	69	874790996
276	391	874790996
532	1137	874790998
276	54	874791025
276	51	874791025
276	1165	874791048
276	81	874791101
276	86	874791101
276	355	874791101
276	424	874791101
276	1204	874791102
276	178	874791102
276	186	874791102
276	524	874791123
276	46	874791145
276	214	874791145
276	290	874791169
276	58	874791169
276	567	874791169
532	761	874791172
276	547	874791194
276	706	874791194
276	238	874791194
276	651	874791194
276	726	874791214
276	381	874791236
276	316	874791257
276	648	874791297
276	689	874791316
276	374	874791339
276	364	874791339
276	43	874791383
276	379	874791383
276	401	874791407
276	1158	874791407
532	1292	874791420
276	581	874791444
276	711	874791464
276	790	874791487
276	1176	874791488
276	76	874791506
532	1290	874791506
276	1090	874791527
276	776	874791623
276	56	874791623
276	4	874791623
276	167	874791623
276	8	874791623
276	42	874791623
276	208	874791667
276	203	874791667
276	152	874791667
276	366	874791667
532	712	874791671
276	774	874791694
276	928	874791695
276	153	874791747
532	725	874791786
532	899	874791786
276	562	874791805
276	73	874791805
276	737	874791806
276	832	874791806
276	1077	874791830
532	590	874791850
276	427	874791870
276	40	874791871
276	85	874791871
276	712	874791871
276	201	874791871
276	17	874791894
276	1095	874791894
276	783	874791932
276	157	874791932
276	684	874791960
276	88	874791960
276	432	874791960
276	273	874791960
276	72	874791960
532	543	874791976
532	363	874791976
276	66	874791993
276	67	874791993
276	172	874791993
276	185	874792018
276	701	874792018
276	33	874792018
532	410	874792031
276	1163	874792040
276	400	874792094
276	231	874792094
276	209	874792094
276	387	874792094
276	392	874792094
276	569	874792118
276	395	874792118
532	368	874792142
276	769	874792143
276	772	874792143
276	63	874792168
276	383	874792189
821	293	874792194
276	449	874792216
532	138	874792232
276	80	874792237
276	41	874792277
276	719	874792277
821	1046	874792285
821	100	874792285
276	408	874792310
276	573	874792310
276	406	874792310
276	24	874792366
276	173	874792366
276	55	874792366
276	89	874792366
821	274	874792369
821	14	874792369
276	175	874792401
276	143	874792401
276	240	874792402
276	182	874792402
276	82	874792402
821	474	874792403
276	96	874792435
276	171	874792435
276	2	874792436
276	676	874792436
276	79	874792436
276	127	874792436
276	232	874792436
821	117	874792442
276	228	874792483
276	264	874792483
276	68	874792483
276	194	874792483
276	630	874792483
276	160	874792483
821	753	874792491
821	236	874792491
276	538	874792519
276	225	874792520
276	447	874792520
276	658	874792520
276	671	874792520
276	539	874792520
821	180	874792521
821	283	874792521
276	187	874792547
276	678	874792547
276	574	874792547
276	183	874792547
276	384	874792547
821	125	874792570
821	959	874792570
276	38	874792574
276	548	874792574
276	62	874792574
821	826	874792591
276	564	874792601
276	396	874792601
276	1286	874792634
276	448	874792634
276	734	874792634
276	814	874792634
276	789	874792634
276	398	874792634
821	147	874792650
276	163	874792663
276	557	874792663
276	98	874792663
276	217	874792663
276	184	874792663
276	445	874792663
276	199	874792663
276	446	874792692
276	665	874792692
276	144	874792692
276	5	874792692
276	218	874792692
276	441	874792692
276	216	874792692
821	457	874792698
276	435	874792711
276	559	874792745
